id,amount,status,user_id,payment_method_id,inserted_at,updated_at,amount_paid,fee,exchange_rate,deposit_type,dollar_instant_deposit_fee,dollar_processing_fee,currency
255917,20,Deleted,170,7,2021-05-11T00:18:19.000Z,2021-05-11T00:19:25.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
255918,20,Deleted,155744,2,2021-05-11T00:42:27.000Z,2021-05-11T00:44:00.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255919,300,Deleted,161117,7,2021-05-11T00:44:18.000Z,2021-05-11T00:44:25.000Z,148950,0.31,$1/₦496.0,standard,0,0.31,NGN
255920,40.4,Deleted,125945,7,2021-05-11T00:47:42.000Z,2021-05-11T00:49:25.000Z,20188.4,0.31,$1/₦496.0,standard,0,0.31,NGN
255921,40.4,Settlemented,125945,7,2021-05-11T00:48:19.000Z,2021-05-12T13:14:23.000Z,20188.4,0.31,$1/₦496.0,standard,0,0.31,NGN
255922,10000,Deleted,92642,4,2021-05-11T00:54:25.000Z,2021-05-11T00:55:57.000Z,10290,290,,standard,0,290,USD
255923,20,Rejected,96768,1,2021-05-11T00:57:53.000Z,2021-05-11T00:59:25.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
83828,2450,Settlemented,40420,4,2020-09-06T15:26:16.000Z,2020-09-08T16:20:22.000Z,2521.05,71.05,,standard,0,71.05,
255924,50,Deleted,61314,1,2021-05-11T01:15:33.000Z,2021-05-11T01:15:35.000Z,25147.2,0.7,$1/₦496.0,standard,0,0.7,NGN
255925,50,Deleted,61314,1,2021-05-11T01:16:24.000Z,2021-05-11T01:16:35.000Z,25147.2,0.7,$1/₦496.0,standard,0,0.7,NGN
255926,20,Deleted,149131,1,2021-05-11T01:21:53.000Z,2021-05-11T01:22:00.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255927,100,Deleted,111612,7,2021-05-11T01:45:56.000Z,2021-05-11T01:45:59.000Z,49750,0.31,$1/₦496.0,standard,0,0.31,NGN
