id,price_per_share,side,stock_symbol,transaction_value,type,user_id,quantity,inserted_at,updated_at,naira_fee,dollar_fee,status
557912,411.08,SELL,ZM,201.45668,MARKET,45150,0.489899993,2021-02-08T19:41:33.000Z,2021-02-08T19:41:33.000Z,974.45,2.01,Filled
507602,405.53,BUY,ROKU,44.33,MARKET,66201,0.109167002,2021-01-28T20:55:11.000Z,2021-01-28T20:58:16.000Z,320.78,0.67,Filled
508838,193.6,BUY,GME,297,MARKET,18390,1.534091,2021-01-29T13:47:53.000Z,2021-01-29T14:30:29.000Z,1436.34,3,Rejected
504920,273.27,BUY,GME,297,MARKET,18390,1.086837053,2021-01-28T17:06:25.000Z,2021-01-29T14:30:29.000Z,1436.34,3,Rejected
509259,354.35,BUY,GME,41.15,MARKET,17420,0.116118,2021-01-29T14:34:30.000Z,2021-01-29T14:34:39.000Z,300,0.63,Rejected
509806,5.075,SELL,NOK,90.9,MARKET,79960,18,2021-01-29T14:43:30.000Z,2021-01-29T14:50:29.000Z,651.14,1.36,Rejected
508048,74.18,BUY,STNE,73.07,MARKET,34712,0.985,2021-01-29T05:17:20.000Z,2021-01-29T14:51:40.000Z,531.45,1.11,Filled
509572,12.53,SELL,AMC,513.73,STOP,39885,41,2021-01-29T14:39:35.000Z,2021-01-29T14:55:16.000Z,3691.39,7.71,Filled
510338,329,BUY,GME,19.7,MARKET,97133,0.059835,2021-01-29T14:55:27.000Z,2021-01-29T14:55:27.000Z,143.63,0.3,Rejected
510632,56.79,SELL,JMIA,5690,MARKET,29944,100,2021-01-29T15:03:44.000Z,2021-01-29T15:03:45.000Z,40863.87,85.35,Rejected
510762,1.885,BUY,CRBP,0.98,MARKET,11528,0.522545993,2021-01-29T15:07:20.000Z,2021-01-29T15:07:20.000Z,4.79,0.01,Filled
511163,7.95,SELL,MGI,64.39761,MARKET,59446,8.10032894,2021-01-29T15:21:50.000Z,2021-01-29T15:21:50.000Z,470.26,0.97,Rejected
511670,333.605,SELL,GME,179.03198,MARKET,77188,0.53757716,2021-01-29T15:49:16.000Z,2021-01-29T15:49:16.000Z,1304.11,2.69,Filled
511835,3.98,SELL,SWN,2.3820002,MARKET,79158,0.600000024,2021-01-29T15:57:43.000Z,2021-01-29T15:57:43.000Z,19.39,0.04,Filled
512273,60.04,BUY,NIO,4.92,MARKET,89408,0.082042001,2021-01-29T16:22:09.000Z,2021-01-29T16:22:10.000Z,33.94,0.07,Filled
512359,27.91,SELL,SKLZ,60.39620789,MARKET,27481,2.16396302,2021-01-29T16:25:48.000Z,2021-01-29T16:26:11.000Z,441.17,0.91,Filled
512641,225.39,BUY,NVAX,492.5,MARKET,78137,2.182487011,2021-01-29T16:41:51.000Z,2021-01-29T16:41:52.000Z,3636,7.5,Filled
514535,1.75,BUY,LYG,36.45,MARKET,59896,20.82571411,2021-01-29T18:36:27.000Z,2021-01-29T18:36:27.000Z,266.64,0.55,Filled
